Gene,Cox_coefficient,Raw_p-value,BH-adjusted_p-value,Median_Expression,Mean_Expression
GOLGA2,-0.0722,0.39,0.896600683,1061.5314,1046.030084
GPAM,-0.0819,0.39,0.896600683,434.7826,502.0004781
GPR65,0.0768,0.39,0.896600683,201.822,224.5310317
GSPT2,0.0855,0.39,0.896600683,595.1635,623.272384
HIC2,-0.074,0.39,0.896600683,122.38,136.548648
HIST1H2BN,-0.072,0.39,0.896600683,5.1513,8.304052941
HIST3H2BB,-0.0899,0.39,0.896600683,1.4159,2.961039869
HSD17B10,-0.0775,0.39,0.896600683,1816.6466,1961.859303
HSPA13,-0.0713,0.39,0.896600683,1923.9251,2075.427445
IL13RA2,0.0803,0.39,0.896600683,460.1474,596.8966627
ISOC2,-0.0844,0.39,0.896600683,730.4263,793.8450356
JDP2,0.0752,0.39,0.896600683,401.6294,423.4544271
JUNB,0.0881,0.39,0.896600683,2201.9038,2889.839475
KDR,-0.0788,0.39,0.896600683,523.5824,575.8590418
KIAA0100,0.0792,0.39,0.896600683,3360.2799,3306.753402
KIAA1147,0.076,0.39,0.896600683,1351.9919,1397.926077
KREMEN1,0.0808,0.39,0.896600683,427.8607,480.6223232
LACTB,0.0771,0.39,0.896600683,232.8358,248.3101523
LCP1,0.0817,0.39,0.896600683,1238.6923,1405.723274
LCP2,0.079,0.39,0.896600683,538.2996,590.9069918
EIF2D,-0.0744,0.39,0.896600683,735.1779,781.1386536
LIF,0.0867,0.39,0.896600683,256.6292,553.6760722
LOC100129550,0.0769,0.39,0.896600683,163.8784,170.6381941
BCDIN3D-AS1,0.0749,0.39,0.896600683,43.0717,46.57146667
LOC389332,-0.0816,0.39,0.896600683,2.3756,5.230864052
EMBP1,0.0794,0.39,0.896600683,5.151,7.182243791
JMJD1C-AS1,-0.0827,0.39,0.896600683,12.748,15.98636013
LRFN2,0.0833,0.39,0.896600683,13.7836,26.44823497
LSS,-0.0746,0.39,0.896600683,1503.6293,1582.80667
LYRM2,-0.0785,0.39,0.896600683,1321.7344,1324.925715
MAF1,0.0838,0.39,0.896600683,1746.6165,1859.152353
MAPK1IP1L,-0.0778,0.39,0.896600683,2067.7647,2031.869935
MBOAT2,0.081,0.39,0.896600683,695.2544,743.4239693
METTL15,0.0817,0.39,0.896600683,221.6117,224.7187271
MIF4GD,0.0835,0.39,0.896600683,553.4619,605.150082
MTX1,-0.0768,0.39,0.896600683,327.9915,369.0950771
BLOC1S5,-0.0754,0.39,0.896600683,289.0546,301.6423722
NDST3,0.0811,0.39,0.896600683,4.1465,23.20526013
NLRP14,-0.0874,0.39,0.896600683,2.0111,3.510543464
NOM1,-0.0701,0.39,0.896600683,425.6098,439.4356958
NOS1,0.0813,0.39,0.896600683,2.7248,16.03522255
NOTUM,-0.0789,0.39,0.896600683,4.9172,12.64378922
NPDC1,-0.0752,0.39,0.896600683,2339.4771,2554.297594
NPM2,0.0868,0.39,0.896600683,17.0656,33.48613203
NT5DC2,-0.0731,0.39,0.896600683,1935.9067,2114.871263
OLFM3,0.0811,0.39,0.896600683,12.7532,32.95251405
OPLAH,0.0888,0.39,0.896600683,169.3593,193.209517
P2RY8,0.0762,0.39,0.896600683,41.396,58.01162484
PAPLN,0.0821,0.39,0.896600683,250.1613,372.932534
PDCD1,0.0882,0.39,0.896600683,7.8355,10.60426569
PDZRN4,0.0833,0.39,0.896600683,63.8385,106.3036824
PGM2L1,0.0856,0.39,0.896600683,912.0335,1032.001305
PHOSPHO1,0.0854,0.39,0.896600683,14.251,26.97516928
PLAG1,-0.0794,0.39,0.896600683,36.8852,62.94664379
PLAU,0.0811,0.39,0.896600683,679.955,1002.112806
POLE2,-0.08,0.39,0.896600683,74.2641,87.35464314
POLR2K,0.0757,0.39,0.896600683,990.9287,1097.90034
PPP2R1A,-0.0781,0.39,0.896600683,7170.6941,7272.33591
PRKAA2,-0.0771,0.39,0.896600683,161.6022,179.8632399
PRPS2,0.0792,0.39,0.896600683,504.717,551.7498775
PSMD3,0.077,0.39,0.896600683,2804.5574,2955.345878
RAB6C,-0.0815,0.39,0.896600683,32.6022,34.42729281
RIOK1,-0.0838,0.39,0.896600683,383.4211,400.3590562
RNASE2,0.0745,0.39,0.896600683,119.0976,160.3649167
RNF135,0.0832,0.39,0.896600683,441.6912,451.6467843
RNF141,0.0847,0.39,0.896600683,1917.8013,1915.704062
SCFD2,0.0803,0.39,0.896600683,472.6368,521.9655373
SCNN1D,-0.0789,0.39,0.896600683,166.9782,198.2688546
SCYL3,-0.0807,0.39,0.896600683,218,230.5209647
SEMA4C,0.0764,0.39,0.896600683,964.9074,1057.313241
SEPT9,0.0763,0.39,0.896600683,8271.3036,8631.558859
SETX,-0.076,0.39,0.896600683,1382.3403,1389.303759
SUGP1,-0.07,0.39,0.896600683,667.298,690.8371507
SRSF3,-0.0748,0.39,0.896600683,4616.4025,5165.191838
SFXN5,0.0847,0.39,0.896600683,2581.2859,2896.110837
SLC20A2,-0.0803,0.39,0.896600683,1889.1566,2038.193618
SLC26A4,0.0815,0.39,0.896600683,18.1422,26.49600261
SLFNL1,-0.0757,0.39,0.896600683,6.6161,10.70811667
SSBP1,0.0788,0.39,0.896600683,1568,1673.046117
STEAP4,0.0781,0.39,0.896600683,14.5364,38.93933758
STK16,0.0757,0.39,0.896600683,706.9723,781.4368895
STXBP2,0.0825,0.39,0.896600683,353.761,375.7533163
TADA2B,-0.0822,0.39,0.896600683,662.21385,655.7172647
TADA3,0.0832,0.39,0.896600683,2809.662,2872.916164
TASP1,-0.0868,0.39,0.896600683,145.7758,153.6067258
TCEB1,0.0769,0.39,0.896600683,804.951,898.9031108
TIAF1,0.0803,0.39,0.896600683,480.425,530.2462405
TMEM68,0.0767,0.39,0.896600683,435.9949,464.3178245
TOR2A,0.0786,0.39,0.896600683,287.9189,290.7273095
TRIM14,0.0787,0.39,0.896600683,877.8813,937.056069
TSC22D1,-0.0833,0.39,0.896600683,8297.619,9006.029175
UPP2,0.087,0.39,0.896600683,4.8758,7.61429902
UQCRHL,-0.0793,0.39,0.896600683,629.2189,714.0230431
USP48,-0.0707,0.39,0.896600683,1026.5965,1035.599407
USP51,-0.071,0.39,0.896600683,32.3688,41.32859052
VAV2,0.0827,0.39,0.896600683,957.5378,986.1530082
WWC3,0.0783,0.39,0.896600683,651.9584,677.2747078
ZBTB8B,-0.0793,0.39,0.896600683,32.5648,39.48599739
ZC3H14,-0.0749,0.39,0.896600683,1012.0841,998.8905807
ZDHHC19,0.0827,0.39,0.896600683,1.675,3.545166667
ZFP2,-0.081,0.39,0.896600683,82.674,87.50930163
ZNF207,-0.0783,0.39,0.896600683,3198.3849,3280.437928
ZBTB21,-0.0889,0.39,0.896600683,520.2285,549.3178098
ZNF319,0.0814,0.39,0.896600683,433.4009,421.5412699
ZNF404,-0.0741,0.39,0.896600683,159.7444,176.2830317
ZNF579,-0.0736,0.39,0.896600683,261.8065,291.2273801
ZNF853,0.082,0.39,0.896600683,1155.2739,1211.568838
ABCC5,-0.0714,0.4,0.898133333,804.8809,927.5182706
ACADVL,0.0805,0.4,0.898133333,3628.6876,3956.322174
PXYLP1,-0.0861,0.4,0.898133333,1174.1655,1310.517274
ADCY5,0.0772,0.4,0.898133333,113.7464,166.6567451
ALS2CR12,0.0701,0.4,0.898133333,5.80245,8.00305
ANKRD46,-0.0842,0.4,0.898133333,766.8834,908.0236533
ANO2,-0.0768,0.4,0.898133333,11.3708,15.80628235
ANTXR2,0.087,0.4,0.898133333,524.7034,608.8336725
AP1G1,-0.075,0.4,0.898133333,1886.2299,1834.957241
AP3M1,-0.0802,0.4,0.898133333,1049.8594,1082.231482
APEH,-0.0781,0.4,0.898133333,1850.1475,1891.021786
APPL1,-0.0781,0.4,0.898133333,1200.0609,1209.000902
ATP8B4,0.0785,0.4,0.898133333,132.1089,146.8026382
ATXN1,0.0739,0.4,0.898133333,1049.6755,1074.505628
BRAF,0.0779,0.4,0.898133333,101.0029,106.5629412
BTG3,-0.0841,0.4,0.898133333,1042.668,1133.648456
MCMBP,-0.0819,0.4,0.898133333,949.4213,1030.924928
KIAA1551,0.0838,0.4,0.898133333,358.6626,362.730401
TMEM260,-0.0829,0.4,0.898133333,244.3206,259.7403948
C1S,0.0753,0.4,0.898133333,3342.5429,4665.927963
C1orf112,-0.0771,0.4,0.898133333,181.121,198.8693676
C1orf115,0.0834,0.4,0.898133333,182.2958,234.3973154
BRAT1,0.0824,0.4,0.898133333,1651.0351,1730.165805
LAMTOR4,0.0718,0.4,0.898133333,2240.1606,2614.647504
RBM48,0.0748,0.4,0.898133333,405.196,564.9669098
C9orf66,0.0876,0.4,0.898133333,3.2406,4.049537582
CAPN3,0.0792,0.4,0.898133333,282.5139,514.6645261
CARD9,0.0787,0.4,0.898133333,101.3712,113.5504412
CCDC36,-0.0923,0.4,0.898133333,3.8077,6.383859477
CCDC90B,0.0705,0.4,0.898133333,1051.3622,1202.052014
CD53,0.0747,0.4,0.898133333,1569.7177,1748.210793
CDK5,0.0827,0.4,0.898133333,686.4266,810.7674788
CDKAL1,-0.0792,0.4,0.898133333,340.5851,362.5127696
CHRM1,0.0859,0.4,0.898133333,40.8055,80.78233105
CHRNB4,0.0839,0.4,0.898133333,1.8293,5.990015359
CLK4,-0.0755,0.4,0.898133333,351.7442,378.0816853
CRIP2,-0.0708,0.4,0.898133333,3367.1642,3375.971888
CRKL,-0.0714,0.4,0.898133333,2626.2799,2731.144007
CTPS1,-0.0749,0.4,0.898133333,664.825,708.575268
DAPP1,0.0778,0.4,0.898133333,42.205,51.07165065
DCAF13,-0.0815,0.4,0.898133333,882.6652,948.5544242
DDX6,-0.0753,0.4,0.898133333,2561.5199,2598.136601
DTWD1,-0.0768,0.4,0.898133333,286.4322,310.1681134
DYNC2LI1,0.0733,0.4,0.898133333,356.0411,383.9849399
EIF4ENIF1,-0.0838,0.4,0.898133333,640.3996,627.5150902
ENPP2,0.0758,0.4,0.898133333,494.2288,873.6101409
ERLIN1,-0.0846,0.4,0.898133333,598.056,637.9023118
FAM101A,0.0763,0.4,0.898133333,27.9871,58.37770098
FAM114A1,0.0781,0.4,0.898133333,284.4037,325.2114588
FAM118B,-0.0767,0.4,0.898133333,651.9507,711.6938219
FAM161B,0.0754,0.4,0.898133333,152.8204,158.7956114
FAM182A,-0.077,0.4,0.898133333,26.2378,42.08946209
FAM21C,-0.0799,0.4,0.898133333,740.9518,786.3676987
FAM57A,0.0754,0.4,0.898133333,713.4146,736.6404121
FAM69A,0.0756,0.4,0.898133333,489.9831,528.687598
FAM96A,0.0704,0.4,0.898133333,844.2057,939.3907895
FBN3,0.0735,0.4,0.898133333,70.8812,211.2220882
FRZB,-0.0797,4.00E-01,0.898133333,492.9469,882.5153703
GNPTAB,0.073,0.4,0.898133333,1008.6308,1027.564008
GOLGA6B,-0.0855,0.4,0.898133333,1.1751,2.006170915
GPR18,0.0784,0.4,0.898133333,3.27585,4.89944085
GPSM2,-0.08,0.4,0.898133333,1195.4125,1281.18463
GPSM3,0.0777,0.4,0.898133333,569.9094,637.3097252
GRAMD1C,0.0808,0.4,0.898133333,238.0952,268.1385193
GRM4,0.0808,0.4,0.898133333,4.6024,12.56376176
GTF2H5,0.0795,0.4,0.898133333,768.168,823.7364791
HPS4,-0.0732,0.4,0.898133333,767.7543,810.3074036
IFIT2,-0.0771,0.4,0.898133333,527.9889,749.5702748
INSR,0.0742,0.4,0.898133333,927.6133,945.2197882
IRF6,-0.0765,0.4,0.898133333,8.1014,15.44753333
KAZALD1,-0.0827,0.4,0.898133333,25.8206,77.74013333
KCNS3,0.08,0.4,0.898133333,68.4366,124.6660984
CTIF,0.0752,0.4,0.898133333,844.4968,923.3487513
KIAA1644,0.0803,0.4,0.898133333,52.226,116.7277366
PPP1R18,0.0855,0.4,0.898133333,2110.4095,2155.875814
KIDINS220,0.0822,0.4,0.898133333,2598.7934,2566.186552
KIFC2,0.0759,0.4,0.898133333,681.7579,755.5065131
KPNA4,0.0779,0.4,0.898133333,2169.8113,2208.763773
LEFTY1,-0.0848,0.4,0.898133333,24.2262,28.22688497
LEPR,0.0842,0.4,0.898133333,141.4527,158.6308023
LOC115110,0.0801,0.4,0.898133333,23.6446,29.32549542
MGAT5,0.0726,0.4,0.898133333,1149.8708,1199.960903
LOC440461,-0.0831,0.4,0.898133333,2.3502,4.32605719
CRSP8P,-0.0774,0.4,0.898133333,205.1021,226.5584824
LOC644172,0.0792,0.4,0.898133333,119.5763,130.1550395
LPP,-0.0838,0.4,0.898133333,88.4211,101.3771108
LRRC23,0.0757,4.00E-01,0.898133333,381.9943,501.4709108
LSM1,0.0723,0.4,0.898133333,663.6168,747.5161925
MAPK12,-0.077,0.4,0.898133333,486.9204,518.4932595
MAPK8,-0.0774,0.4,0.898133333,153.081,175.4602575
MED19,0.0751,0.4,0.898133333,375.8447,420.3587464
MEF2A,0.0798,0.4,0.898133333,1259.5389,1309.834622
NTMT1,-0.0776,0.4,0.898133333,581.1976,636.3956127
METTL2A,-0.0786,0.4,0.898133333,474.8454,509.8570219
MGAT4C,-0.076,0.4,0.898133333,8.4014,26.6603085
MIR503HG,-0.0736,0.4,0.898133333,21.9687,30.45167222
MIIP,-0.0837,0.4,0.898133333,662.0613,692.0366768
MRPL34,-0.0747,4.00E-01,0.898133333,692.7704,811.5857859
MRPS35,-0.0705,0.4,0.898133333,1151.6214,1253.38385
MUSTN1,0.0812,0.4,0.898133333,50.8923,61.42600359
MYEOV2,0.0744,0.4,0.898133333,1092.0957,1503.971441
MYLIP,-0.0783,0.4,0.898133333,239.7541,274.9155072
NEURL1,0.0828,0.4,0.898133333,79.6617,115.0432729
NRBF2,-0.087,0.4,0.898133333,357.6691,380.0655157
NRBP2,0.0774,0.4,0.898133333,1576.9043,1735.4848
NRXN1,0.0815,0.4,0.898133333,897.2641,1040.697056
NUP35,-0.078,0.4,0.898133333,325.846,357.8520265
NUP43,-0.0726,0.4,0.898133333,669.3017,709.4993784
OLFML1,-0.0806,0.4,0.898133333,68.8556,132.6689748
PACSIN1,0.0853,0.4,0.898133333,89.1951,289.2245618
PAPD7,0.0718,0.4,0.898133333,593.7463,601.0196513
PARP15,0.0765,0.4,0.898133333,6.7674,10.29766699
PARP1,-0.078,0.4,0.898133333,4586.8774,4759.869525
PCDH7,0.0726,0.4,0.898133333,301.2762,375.6087562
PCMT1,0.0886,0.4,0.898133333,2114.3757,2217.368125
PDYN,0.082,0.4,0.898133333,45.7011,155.4818709
PIK3IP1,0.0732,0.4,0.898133333,765.7573,910.0354631
PIK3R2,-0.0761,0.4,0.898133333,2470.9751,2576.018249
PITPNM1,0.0794,0.4,0.898133333,678.2158,740.0267971
PROC,0.0827,0.4,0.898133333,9.4007,12.64942745
PROM1,0.0813,0.4,0.898133333,394.1327,595.9778605
PSMD7,-0.0904,0.4,0.898133333,1926.057,1990.626158
PSME4,-0.076,0.4,0.898133333,966.1181,1044.588227
PVRL4,0.0855,0.4,0.898133333,4.717,9.526939216
QTRTD1,-0.0721,0.4,0.898133333,354.4304,362.5059582
RABGAP1,-0.0755,0.4,0.898133333,1476.7637,1509.431468
RAD51C,0.0789,0.4,0.898133333,361.525,368.5806732
RALB,0.0871,0.4,0.898133333,1089.5916,1128.122933
RAMP3,0.0745,0.4,0.898133333,261.3755,474.8636065
RAPGEF5,0.0771,4.00E-01,0.898133333,471.4211,606.1265876
RBM42,-0.0784,0.4,0.898133333,1529.5321,1609.841515
RBMS2,-0.0837,0.4,0.898133333,593.8449,614.9477912
RPL23P8,-0.0773,0.4,0.898133333,8.7227,10.17309902
RPL39,-0.0748,0.4,0.898133333,287.4336,385.4843379
RPS14,-0.0742,0.4,0.898133333,11370.4338,13821.01494
RPS27,-0.0726,0.4,0.898133333,274.7253,332.9493592
RPS29,-0.0722,0.4,0.898133333,3858.69,4704.34089
RPS7,-0.0733,0.4,0.898133333,1850.4762,2414.092957
RRAGA,0.0783,0.4,0.898133333,2524.8197,2510.985046
RS1,0.0784,0.4,0.898133333,2.7473,5.01164085
SGTB,0.083,0.4,0.898133333,536.4276,558.6194036
SLC6A13,0.0822,0.4,0.898133333,11.7705,19.7777549
SNX6,-0.0777,0.4,0.898133333,1440,1499.862357
SPATA22,-0.0733,0.4,0.898133333,11.0429,18.58188791
SPRYD4,0.073,0.4,0.898133333,188.56405,211.1654281
SPTLC3,0.0831,0.4,0.898133333,77.1956,96.35180131
SRPRA,0.0801,0.4,0.898133333,1975.6932,2066.671048
SUV39H2,-0.0739,0.4,0.898133333,166.6667,195.3672173
SYNGR2,0.0763,0.4,0.898133333,1506.48845,1742.448385
SYPL1,0.0762,0.4,0.898133333,2587.6814,2695.745384
TAB2,-0.0802,0.4,0.898133333,2082.483,2212.922393
TBX18,-0.0783,0.4,0.898133333,20.7573,40.17599935
TERF2,-0.0828,0.4,0.898133333,876.5236,859.413733
TFDP2,-0.072,0.4,0.898133333,204.5486,236.6713026
TIAM2,0.0817,0.4,0.898133333,183.5531,242.4670304
TIGD7,-0.0764,0.4,0.898133333,404.7619,420.0742752
TIMM44,-0.0708,0.4,0.898133333,926.869,937.0365791
TMEM59,0.0739,0.4,0.898133333,5046.4183,5591.302642
TNFAIP8L2,0.0734,4.00E-01,0.898133333,176.1475,209.2690918
TNMD,-0.0856,0.4,0.898133333,1.8987,35.8000366
TNRC6A,-0.075,0.4,0.898133333,1243.9614,1249.02092
TPD52,-0.0697,0.4,0.898133333,1165.1719,1432.961871
TRAP1,-0.0769,0.4,0.898133333,1759.3016,1788.011103
TRIM2,0.0757,0.4,0.898133333,2509.7952,2637.691785
ULK3,-0.0789,0.4,0.898133333,954.1716,1024.517063
WDR76,-0.0829,0.4,0.898133333,300.394,331.5178487
WRB,0.0816,0.4,0.898133333,1485.181,1592.656882
WWTR1,0.0799,0.4,0.898133333,701.6279,887.9471801
XCL1,0.0829,0.4,0.898133333,1.3652,2.71974902
ZBTB32,-0.0886,0.4,0.898133333,1.5083,2.09365817
ZCCHC18,-0.0757,0.4,0.898133333,132.8171,150.5460085
ZNF233,-0.082,0.4,0.898133333,20.43,34.99050556
ZNF397,-0.0812,0.4,0.898133333,232.9891,244.7724235
ZNF691,-0.0745,0.4,0.898133333,274.4216,285.8687484
ZNF800,0.0788,0.4,0.898133333,331.1897,339.4780033
ACAT2,-0.0835,0.41,0.899478895,710.5738,786.0796409
ACSL5,0.0776,0.41,0.899478895,210.2785,224.0484252
ADHFE1,-0.077,0.41,0.899478895,164.4885,196.7038539
AGA,0.0761,0.41,0.899478895,519.9459,553.360982
AGPAT5,-0.0763,0.41,0.899478895,2845.2081,2936.177892
SLF1,0.0853,0.41,0.899478895,147.6624,160.1624275
ANKRD36BP1,-0.0777,0.41,0.899478895,51.9415,55.34836471
ANKZF1,-0.0724,0.41,0.899478895,490.785,544.9563271
AQP7P1,-0.0803,0.41,0.899478895,6.7613,31.03629771
ARHGAP27,0.0754,0.41,0.899478895,349.3374,364.6742859
ARHGEF17,0.0742,0.41,0.899478895,1441.7419,1461.454991
ARL11,0.0734,0.41,0.899478895,74.7873,87.97641699
ASPH,0.0726,0.41,0.899478895,2559.7562,2769.75314
ASXL1,-0.0659,0.41,0.899478895,1452.9873,1573.039807
ATP13A1,-0.0716,0.41,0.899478895,1750.5462,1746.470779
DPH6,-0.0749,0.41,0.899478895,182.9727,199.610632
NBEAP1,0.078,0.41,0.899478895,1.1268,2.378359477
BSG,0.0699,0.41,0.899478895,13283.8509,13969.37915
C15orf40,0.068,0.41,0.899478895,235.5364,256.9891742
VWA9,-0.0816,0.41,0.899478895,921.9074,941.6657288
LRIF1,-0.0761,0.41,0.899478895,396.2264,401.9716879
C22orf24,0.0801,0.41,0.899478895,1.8987,2.556766013
CPED1,-0.0786,0.41,0.899478895,119.0935,160.6195121
C8G,-0.0813,0.41,0.899478895,1.6854,2.968157843
SBSPON,0.081,0.41,0.899478895,32.9704,160.5491212
CEP95,-0.0668,0.41,0.899478895,392.6016,416.4008271
CDK13,0.0755,0.41,0.899478895,983.6066,994.6755869
CDK6,0.0703,0.41,0.899478895,1572.327,2164.034929
CLPP,-0.0667,0.41,0.899478895,1279.9736,1357.959285
CNST,0.0765,0.41,0.899478895,445.7612,462.1861415
CNTD1,0.0755,0.41,0.899478895,30.449,33.31976797
COL4A3BP,0.0788,0.41,0.899478895,727.1408,746.1791556
COMMD3,-0.0763,0.41,0.899478895,588.9012,715.4266954
CORIN,0.0719,0.41,0.899478895,6.135,8.740560131
CTNNA2,0.0751,0.41,0.899478895,1565.6338,1720.298813
TMEM257,0.0777,0.41,0.899478895,39.1978,48.96584967
DCTN3,-0.076,0.41,0.899478895,1513.7887,1855.463265
DENR,0.0639,0.41,0.899478895,1312.1506,1347.919366
None,0.0782,0.41,0.899478895,3.8594,4.935768627
DLL1,-0.0743,0.41,0.899478895,333.9176,837.5216203
DNM3,0.0769,0.41,0.899478895,318.2011,447.1547993
DPPA4,-0.0819,0.41,0.899478895,3.4018,9.510648039
DPYSL5,0.0774,0.41,0.899478895,2075.5245,2431.981476
DUSP14,0.0772,0.41,0.899478895,521.8029,581.3112418
DYNLRB2,0.0748,0.41,0.899478895,11.5998,24.25929085
E2F4,-0.0776,0.41,0.899478895,1029.0135,1058.095323
EARS2,-0.0718,0.41,0.899478895,531.9828,540.348799
EIF3B,0.0815,0.41,0.899478895,3937.4289,4007.656689
ENPP6,0.0784,0.41,0.899478895,183.1965,279.7253127
ESAM,-0.074,0.41,0.899478895,1154.9681,1253.20953
ESRRG,0.0758,0.41,0.899478895,80.5541,94.89154837
FAM166B,-0.0803,0.41,0.899478895,9.7162,14.57178235
FAM189A1,0.0812,0.41,0.899478895,110.0839,140.806065
FAM66C,0.0809,0.41,0.899478895,69.582,77.27673529
FAM72A,-0.0761,0.41,0.899478895,19.6426,24.34101569
FAM73B,-0.0731,0.41,0.899478895,534.0892,548.1648422
FCRL6,0.0871,0.41,0.899478895,3.876,5.806949673
FIGNL2,0.0811,0.41,0.899478895,27.4615,41.94062909
FMR1,-0.0795,0.41,0.899478895,1035.3659,1089.539798
FOXD2,0.0708,0.41,0.899478895,13.8408,27.94893824
FXYD6,-0.0799,0.41,0.899478895,11063.9535,11991.57214
FZD7,0.0773,0.41,0.899478895,919.9757,1093.881944
G3BP1,-0.0792,0.41,0.899478895,2116.9725,2141.455108
GAB1,-0.0755,0.41,0.899478895,1543.5953,1658.614508
GAD2,0.0783,0.41,0.899478895,12.9266,36.65287778
GFM2,-0.078,0.41,0.899478895,487.3341,515.1325775
GGA3,0.0698,0.41,0.899478895,904.9774,904.0568843
GIMAP2,0.0711,0.41,0.899478895,279.2836,316.2103039
GPKOW,0.0766,0.41,0.899478895,731.3728,744.4464239
GPR173,-0.0741,0.41,0.899478895,202.645,238.5140255
GRASP,0.0883,0.41,0.899478895,152.1695,185.8460627
GRB10,0.0726,0.41,0.899478895,1430.0885,1881.403851
GRIPAP1,0.0747,0.41,0.899478895,887.8505,902.269898
GSR,-0.0779,0.41,0.899478895,703.4745,731.2085863
GVINP1,0.0779,0.41,0.899478895,18.7075,23.30536569
HAP1,0.0802,0.41,0.899478895,506.156,660.2328801
HOXB6,0.0831,0.41,0.899478895,6.0606,24.8868402
HSD11B1,0.0759,0.41,0.899478895,35.7014,69.55262484
IGHMBP2,0.0738,0.41,0.899478895,302.6184,308.803869
IKBKAP,-0.0701,0.41,0.899478895,932.8657,968.4941539
IMPA2,0.0852,0.41,0.899478895,113.8699,139.8620928
INPP5J,0.0769,0.41,0.899478895,58.1343,63.97812647
IQCD,0.0761,0.41,0.899478895,47.0997,61.95042386
TRAPPC8,-0.0783,0.41,0.899478895,801.8275,843.4765964
LOC100499484-C9ORF174,-0.0726,0.41,0.899478895,93.0233,106.6396725
CEP44,-0.0784,0.41,0.899478895,294.3473,312.8229252
KIF1A,0.0776,0.41,0.899478895,4009.4619,4924.656705
KLC2,0.0756,0.41,0.899478895,735.119,742.9934503
KYNU,0.0732,0.41,0.899478895,80.0135,93.19431013
LGR5,0.0737,0.41,0.899478895,25.6849,81.9717451
LMF1,0.0716,0.41,0.899478895,485.0359,495.3784239
LNP1,-0.0762,0.41,0.899478895,141.9827,151.8054193
LNX1,0.0808,0.41,0.899478895,163.3373,307.4852725
RPL34-AS1,0.0771,0.41,0.899478895,2.8334,3.363372222
PKD1P1,-0.0749,0.41,0.899478895,899.4811,1023.694511
SMG1P1,-0.0676,0.41,0.899478895,42.1616,51.86741928
ASH1L-AS1,-0.0743,0.41,0.899478895,49.1766,52.88314608
MBL1P,-0.0753,0.41,0.899478895,2.2425,3.031083007
MEMO1,-0.0709,0.41,0.899478895,381.2665,401.0406137
MFSD4A,0.0792,0.41,0.899478895,137.0493,188.0720516
MIP,0.071,0.41,0.899478895,3.0104,4.030384967
MMP15,0.0738,0.41,0.899478895,528.626,653.7282634
MSR1,0.0711,0.41,0.899478895,1509.55595,1729.8622
MYB,0.0702,0.41,0.899478895,14.1449,26.10643497
MYO5B,0.0848,0.41,0.899478895,142.6728,242.9812739
NAALADL1,-0.0784,0.41,0.899478895,32.8679,40.4672732
NDUFA5,0.0729,0.41,0.899478895,1608.1145,1743.151341
NFIC,-0.0687,0.41,0.899478895,759.6699,784.6734909
NOVA1,-0.0754,0.41,0.899478895,1918.8811,2052.933298
NPY2R,0.0855,0.41,0.899478895,20.2507,79.08081405
NUP62,-0.0737,0.41,0.899478895,1709.2145,1779.165134
NUPR1,0.0696,0.41,0.899478895,997.1504,1146.297688
OLIG1,-0.0792,0.41,0.899478895,4200.1006,5263.896247
PABPN1,-0.073,0.41,0.899478895,2097.7313,2207.489972
PAPOLA,-0.0779,0.41,0.899478895,2641.0549,2633.483877
PCDH11X,0.0784,0.41,0.899478895,12.926,71.05039118
PCDHB13,0.0698,0.41,0.899478895,34.6116,49.17510915
PCDHGC3,0.0715,0.41,0.899478895,23892.0859,25621.42703
PCSK6,0.074,0.41,0.899478895,156.4848,332.9622951
PDE4A,-0.0825,0.41,0.899478895,392.8529,434.5463814
PDK1,0.076,0.41,0.899478895,434.8762,555.5901493
PDPN,0.0771,0.41,0.899478895,4880.7663,5713.675675
PHF8,-0.0665,0.41,0.899478895,742.194,740.1741399
PKIA,0.0807,0.41,0.899478895,820.4986,991.4182062
PLK3,0.0775,0.41,0.899478895,391.8209,436.0269549
PMS2,0.0825,0.41,0.899478895,895.8333,931.2384683
POFUT2,0.078,0.41,0.899478895,850.2333,914.8545088
POSTN,0.0833,0.41,0.899478895,638.7231,4733.328731
RAB33B,-0.0733,0.41,0.899478895,316.7421,336.0850059
RASIP1,-0.0812,0.41,0.899478895,159.2005,169.211669
RERG,0.0758,0.41,0.899478895,47.0394,88.74602386
RGS2,0.0754,0.41,0.899478895,855.2427,1600.435001
RIPPLY2,-0.0821,0.41,0.899478895,9.4007,17.4100281
RWDD2A,-0.0768,0.41,0.899478895,191.9745,213.5125725
SASH3,0.0749,0.41,0.899478895,637.7071,660.4799101
SCRN2,0.0709,0.41,0.899478895,418.22,457.0512788
SEMA3F,0.0828,0.41,0.899478895,264.4109,343.9944127
SEPT7P2,0.0683,0.41,0.899478895,208.6476,232.1219886
SFT2D2,0.0795,0.41,0.899478895,46.6613,52.17115163
SLC11A2,0.0745,0.41,0.899478895,1761.8962,1795.583007
SLC24A2,0.0761,0.41,0.899478895,19.5049,32.10870359
SLC35A4,0.0753,0.41,0.899478895,2401.3409,2396.300801
SNF8,0.0776,0.41,0.899478895,963.0811,980.392751
SNHG5,-0.0731,0.41,0.899478895,797.2568,932.4909722
SNRNP27,-0.0744,0.41,0.899478895,832.3917,867.2963382
SOX4,-0.0782,0.41,0.899478895,2351.7623,3371.29809
STXBP6,0.0729,0.41,0.899478895,28.0047,44.22909837
